Year,Voting Age Population,Turnout,% Turnout of VAP
1952,"99,929,000","61,552,000",61.60%
1956,"104,515,000","62,027,000",59.30%
1960,"109,672,000","68,836,000",62.80%
1964,"114,090,000","70,098,000",61.40%
1968,"120,285,000","73,027,000",60.70%
1972,"140,777,000","77,625,000",55.10%
1976,"152,308,000","81,603,000",53.60%
1980,"163,945,000","86,497,000",52.80%
1984,"173,995,000","92,655,000",53.30%
1988,"181,956,000","91,587,000",50.30%
1992,"189,493,000","104,600,000",55.20%
1996,"196,789,000","96,390,000",49.00%
2000,"209,787,000","105,594,000",50.30%
2004,"219,553,000","122,349,000",55.70%
2008,"229,945,000","131,407,000",57.10%
2012,"235,248,000","129,235,000",54.90%
2016,"250,056,000","138,847,000",55.50%
